| Date                      |        GOOG |        META |       CSCO |       MSFT |       AMZN |        AAPL |
|:--------------------------|------------:|------------:|-----------:|-----------:|-----------:|------------:|
| 2006-07-01 00:00:00-04:00 |   1.62789   | nan         |   1.61429  |   0.710149 |   0.621375 |   2.61264   |
| 2006-08-01 00:00:00-04:00 |   1.44692   | nan         |   4.96461  |   0.671714 |   1.64308  |   2.42482   |
| 2006-09-01 00:00:00-04:00 |   2.22137   | nan         |   4.5642   |   1.12019  |   2.25848  |   3.84245   |
| 2006-10-01 00:00:00-04:00 |   3.99      | nan         |   4.39458  |   1.35041  |   4.47246  |   4.9492    |
| 2006-11-01 00:00:00-05:00 |   3.63617   | nan         |   5.80335  |   2.51912  |   5.12557  |   5.07912   |
| 2006-12-01 00:00:00-05:00 |   4.39192   | nan         |   7.52365  | inf        |   5.06988  |   6.39061   |
| 2007-01-01 00:00:00-05:00 |   3.80772   | nan         |   6.9621   | inf        |   3.77276  |   7.81362   |
| 2007-02-01 00:00:00-05:00 |   3.49467   | nan         |  11.4699   |   1.96373  |   8.06013  |   3.93879   |
| 2007-03-01 00:00:00-05:00 |   3.72952   | nan         |   2.77733  |   1.28264  |   5.55974  |   5.0213    |
| 2007-04-01 00:00:00-04:00 |   3.47942   | nan         |   2.80923  |   1.40852  | 118.603    |   3.87326   |
| 2007-05-01 00:00:00-04:00 |   1.24532   | nan         |   2.32369  |   1.21343  | 116.369    |   8.28617   |
| 2007-06-01 00:00:00-04:00 |   1.4614    | nan         |   0.827041 |   0.913912 | 109.792    |   6.57199   |
| 2007-07-01 00:00:00-04:00 |   1.62297   | nan         |   1.07314  |   0.818507 | 129.453    |  23.355     |
| 2007-08-01 00:00:00-04:00 |   0.911271  | nan         |   3.32087  |   0.645602 | 353.753    |  24.4976    |
| 2007-09-01 00:00:00-04:00 |   4.74014   | nan         |   6.33978  |   1.2059   | 362.676    | inf         |
| 2007-10-01 00:00:00-04:00 |  19.1418    | nan         |  15.3284   |  10.4647   | 136.85     | inf         |
| 2007-11-01 00:00:00-04:00 |  14.1341    | nan         |   1.43371  |   5.76978  |   9.14589  |  20.45      |
| 2007-12-01 00:00:00-05:00 |  13.0502    | nan         |   1.31007  |   6.01821  |   7.07179  |  14.4047    |
| 2008-01-01 00:00:00-05:00 |   5.22271   | nan         |   0.924535 |   5.12203  |   3.47232  |   5.8191    |
| 2008-02-01 00:00:00-05:00 |   4.02343   | nan         |   0.778882 |   3.88505  |   1.49107  |   4.60608   |
| 2008-03-01 00:00:00-05:00 |   3.66066   | nan         |   0.138128 |   4.06164  |   2.04245  |   5.55453   |
| 2008-04-01 00:00:00-04:00 |   8.75619   | nan         |   0.295646 |   3.98866  |   1.24587  |   7.39792   |
| 2008-05-01 00:00:00-04:00 |   5.64991   | nan         |   0.457503 |   0.401532 |   1.45752  |   4.54687   |
| 2008-06-01 00:00:00-04:00 |   5.0924    | nan         |   0.470609 |   0.44807  |   1.2261   |   4.04593   |
| 2008-07-01 00:00:00-04:00 |   4.62921   | nan         |   0.450494 |   0.155641 |   1.29936  |   3.42884   |
| 2008-08-01 00:00:00-04:00 |   5.33172   | nan         |   1.19613  |   0.509703 |   1.90107  |   4.89654   |
| 2008-09-01 00:00:00-04:00 |   5.44442   | nan         |   1.04683  |   0.765947 |   2.12155  |   4.06993   |
| 2008-10-01 00:00:00-04:00 |   5.20054   | nan         |   0.815823 |   0.317298 |   1.011    |   2.80282   |
| 2008-11-01 00:00:00-04:00 |   0.0364269 | nan         |   0.527899 |   0.27249  |   0.392809 |   0.555288  |
